================================================================================
RELATÓRIO DE VERIFICAÇÃO DE VENDAS PWR - 30/08/2026 23:08:41
================================================================================
Período Mensal Analisado: 01/08/2026 a 29/08/2026
Data de Ontem (D-1): 29/08/2026
Total de Lojas Analisadas: 207
--------------------------------------------------------------------------------

[MOVIMENTO 1] VERIFICAÇÃO DE ONTEM (D-1):
-> ALERTA: 41 loja(s) NÃO subiram as vendas de ontem:
   - Loja 19507 | FLAMENGO | Consultor: Erick | (Própria)
   - Loja 19515 | CATETE | Consultor: Erick | (Própria)
   - Loja 19536 | DOMINOS CACHAMBI | Consultor: LEANDRO | (Franquia)
   - Loja 19546 | DOMINOS JUVEVE | Consultor: ALAN | (Franquia)
   - Loja 19562 | PRADO | Consultor: Silvanira | (Própria)
   - Loja 19565 | DOMINOS GRACAS | Consultor: FERNANDO NETO | (Franquia)
   - Loja 19579 | DOMINOS VILA ANDRADE | Consultor: PRISCILA | (Franquia)
   - Loja 19581 | DOMINOS PRAIA DA COSTA | Consultor: MUNIZ | (Franquia)
   - Loja 19596 | DOMINOS NOVA IGUACU | Consultor: MUNIZ | (Franquia)
   - Loja 19601 | DOMINOS BOA VIAGEM | Consultor: FERNANDO NETO | (Franquia)
   - Loja 19602 | DOMINOS CAMPO GRANDE | Consultor: MURILO | (Franquia)
   - Loja 19615 | DOMINOS JUIZ DE FORA | Consultor: LEANDRO | (Franquia)
   - Loja 19618 | DOMINOS MEIER | Consultor: LEANDRO | (Franquia)
   - Loja 19649 | DOMINOS SETUBAL | Consultor: FERNANDO NETO | (Franquia)
   - Loja 19654 | DOMINOS CASA FORTE | Consultor: FERNANDO NETO | (Franquia)
   - Loja 19657 | DOMINOS CABO FRIO | Consultor: MUNIZ | (Franquia)
   - Loja 19661 | DOMINOS LONDRINA | Consultor: MUNIZ | (Franquia)
   - Loja 19685 | DOMINOS BONSUCESSO | Consultor: MUNIZ | (Franquia)
   - Loja 19693 | DOMINOS JARDIM BOTANICO | Consultor: MURILO | (Franquia)
   - Loja 19694 | DOMINOS BARRA MANSA | Consultor: ALAN | (Franquia)
   - Loja 19719 | DOMINOS JARDIM CAMBURI (VITORIA 2) | Consultor: MUNIZ | (Franquia)
   - Loja 19722 | DOMINOS LAGO NORTE | Consultor: MURILO | (Franquia)
   - Loja 19730 | DOMINOS CUIABA | Consultor: MURILO | (Franquia)
   - Loja 19742 | DOMINOS MANAUS | Consultor: MARÍLIA | (Franquia)
   - Loja 19753 | DOMINOS CHACARA FLORA | Consultor: ERICK APARECIDO | (Franquia)
   - Loja 19754 | DOMINOS GOIANIA 2 | Consultor: MURILO | (Franquia)
   - Loja 19787 | DOMINOS BOA VISTA | Consultor: MURILO | (Franquia)
   - Loja 19790 | DOMINOS PIATA | Consultor: FERNANDO NETO | (Franquia)
   - Loja 19843 | DOMINOS MANAUS 3 | Consultor: MARÍLIA | (Franquia)
   - Loja 19863 | VILA CLEMENTINO | Consultor: ERICK APARECIDO | (Franquia)
   - Loja 19897 | DOMINOS PETROLINA | Consultor: FERNANDO NETO | (Franquia)
   - Loja 19910 | DOMINOS LUIZ EDUARDO MAGALHAES CENTRO | Consultor: FERNANDO NETO | (Franquia)
   - Loja 19912 | DOMINOS UBERABA | Consultor: MUNIZ | (Franquia)
   - Loja 19927 | DOMINOS GUARAPUAVA | Consultor: ALAN | (Franquia)
   - Loja 19930 | DOMINOS SP BOTUCATU CENTRO | Consultor: ERICK APARECIDO | (Franquia)
   - Loja 19931 | DOMINOS STELLA MARIS | Consultor: FERNANDO NETO | (Franquia)
   - Loja 19940 | DOMINOS RN NATAL TIROL | Consultor: MARÍLIA | (Franquia)
